Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Newly Built Two Nos Flats With Staff Quarters,"Ajao Estate, Anthony, Maryland, Lagos","₦160,000,000",Greenhaven Properties & Development Company Limited +2348033306666,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/maryland/anthony/3323473-newly-built-two-nos-flats-with-staff-quarters,160000000
The Most Affordable And Spacious Great Investment 3 Bedroom Maisonette,"Off Landmark Center, Victoria Island (VI), Lagos","₦450,000,000",House Davanni Realty Ltd 08051280014,3,4.0,3.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/victoria-island/3356073-the-most-affordable-and-spacious-great-investment-3-bedroom-maisonette,450000000
Three Bedroom Apartment,"Chevron, Lekki, Lagos","₦160,000,000",Joe Etoniru And Associates 09034271406,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3352161-three-bedroom-apartment,160000000
Available Apartments,"Eko Pearl Towers, Eko Atlantic City, Victoria Island (VI), Lagos","$1,700,000",Grandeur Chattel Properties And Constructions Limited 08030586071,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362222-available-apartments,1700000
Suitable 3 Bedroom Terrace Duplex With Self Compound,"General Paint, Lekki, Lagos","₦95,000,000",Achilles Properties Limited 07080405971,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/3355945-suitable-3-bedroom-terrace-duplex-with-self-compound,95000000
Available Apartments,"Eko Pearl Towers, Eko Atlantic, Victoria Island (VI), Lagos","$2,300,000",Grandeur Chattel Properties And Constructions Limited 08030586071,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362193-available-apartments,2300000
A 2 Bedroom+ Room And Parlour Setback,"Edu, Agbara-Igbesa, Lagos","₦18,000,000",Prolific Estates & Consults Ltd 07085753158,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/agbara-igbesa/3362166-a-2-bedroom-room-and-parlour-setback,18000000
3 Bedroom Detached Bungalow,"Ajah, Lagos","₦70,000,000",Abc Trusts 08037479498,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/3353474-3-bedroom-detached-bungalow,70000000
3 Bedroom Apartment,"Iconic Towers At Sinari Daranijo Street, Victoria Island (VI), Lagos","₦500,000,000",Grandeur Chattel Properties And Constructions Limited 08030586071,3,,,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3362133-3-bedroom-apartment,500000000
3 Bedroom Terraced Duplex,"Ajah, Lagos","₦70,000,000",Kvd Properties Ltd 08165867392,3,,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3246240-3-bedroom-terraced-duplex,70000000
